nl,code,utils
"find files measure times (for <b>-amin</b>, <b>-atime</b>, for less than <u>n</u>,",find -daystart arg,find
return true value display this help and exit and delay for a specified amount of time output version information and exit,true --help | sleep --version Timespan,true sleep
"copy files same as <b>--no-dereference</b> <b>--preserve</b>=<u>links</u> hard link files instead of copy directories recursively copy only when the source like <b>-z</b>, or if ctx",cp -d -l -r -u --context arg arg,cp
stream editor for filtering and transforming text separate lines by nul characters,sed --null-data Program,sed
search for files in current folder using regular expressions,find arg -regex arg,find
recursively look for files ending in either .py or .py.server,find arg \( -name arg -or,find
return working directory name avoid all symlinks and stream editor for filtering and transforming text use extended regular expressions in,pwd --physical | sed -r Program,sed pwd
"report repeated lines in a file only print duplicate lines, one like <b>-d</b>, but allow separating avoid comparing the first n",uniq -d --all-repeated ARG --skip-chars arg,uniq
"Search the current directory recursively for *.txt files with lines that match regular expression ""^string""",find arg -name arg -exec grep,find grep
Set 644 permission to all regular files under current directory,chmod arg $( find arg -type,find chmod
Find files/directories that have no owner or group under /path,find arg -nouser -or -nogroup,find
move files move all source arguments into,mv -t arg arg,mv
file perusal filter for crt viewing of compressed text,zless,zless
stream editor add the contents of script-file,sed -f arg,sed
Print the day 1 day ago,date --date arg '+%a',date
print the groups a user is in,groups,groups
deliver the last part of a file,tail,tail
Find all files/directories under /home/baumerf/public_html/ that were modified less than 60 minutes ago excluding error_log files/directories,find arg -mmin -Quantity -not -name,find
Check if process ID 1 exists (init or systemd) and current user has permission to send it signals.,kill - arg,kill
Search the /Applications directory tree for *.app directories,find arg -type d -name arg,find
"Change the group of ""myfile"" to ""friends""",chown arg arg,chown
concatenate and print files in reverse interpret the separator as a use string as the separator,tac --regex --separator arg,tac
"output the first part of files print the first num bytes print the first num lines never print headers giving file line delimiter is nul, not",head -c -Quantity -q - arg,head
wrap each input line to fit in specified width break at spaces,fold -s,fold
Perform a white space safe search for all files/directories under current directory,find arg -print0 | xargs -0,find xargs
"display Linux processes show library version and the starts top in batch mode, and  prefix each line of output output a zero byte (the",top -b -h | grep -Z --line-number arg,grep top
"find files a synonym for -depth, for same as ! <u>expr</u>, but",find -d -not arg,find
"split all files in directory ""/dev/shm/split/"" into pieces per 1000 lines",find arg -type f -exec split,find split
strip file name affixes support multiple arguments and treat and remove sections from each line of files select only these characters use delim instead of tab do not print lines not use string as the output,basename --multiple arg | cut -d arg --characters arg --only-delimited --output-delimiter arg,basename cut
"Search the files from the current directory tree for ""foo""",find arg -exec grep arg {},find grep
"Count the number of differing lines in ""file1"" and ""file2""",diff arg | grep arg |,diff grep wc
run jobs in the foreground,fg,fg
find all directories with the name root in the entire file system.,find arg -type d -name arg,find
,] arg,]
,bind,bind
report file system disk space usage invoke sync before getting usage print file system type,df -T --sync,df
"Compare files ""A1"" and ""A2"" with 3 lines of unified context and print lines beginning with ""+""",diff -u arg arg | grep,diff grep
change the file ownership like verbose but report only suppress most error messages traverse every symbolic link to,chown arg --changes --quiet arg,chown
display status of jobs in the current session,jobs,jobs
print system information print the processor type (non-portable),uname -p,uname
delete all the empty in the current folder and all its sub directories,find arg -depth -type d -empty,find rmdir
"make a directory set file mode (as in no error if existing, make set selinux security context of like <b>-z</b>, or if ctx and stream editor for filtering and transforming text add the script to the follow symlinks when processing in",mkdir -Z arg --context arg --mode ARG arg | sed -e Program,sed mkdir
move files override the usual backup suffix move only when the source,mv -u --suffix arg arg,mv
The non-interactive network downloader limit the download speed to save the headers sent by read the private key from turn on strict parsing of enable spanning across hosts when,wget --limit-rate Bandwidth --private-key arg --save-headers --span-hosts --strict-comments,wget
Delete all files under root whose status were changed more than 30 minutes ago,find arg -type -f -cmin +Quantity,find
make a directory print a message for each,mkdir --verbose arg,mkdir
Kill the processes of user `myuser' that have been working more than 7 days,find arg -user arg -maxdepth arg,find basename xargs kill
merge lines of files display this help and exit,paste --help,paste
Search for the extened regex 'expr' in all files with '.c' and '.h' extension under current directory tree,find arg -name arg | xargs,find xargs grep
print lines matching a pattern read all files under each,grep -F -R arg,grep
 set broadcast address to addr configure network interface name short output format,ifconfig arg,ifconfig
,history arg,history
invoke a utility immune to hangups,nohup,nohup
 don't print the header. use the short format. don't toggle printing the <b>from</b> (remote,w -s --from --no-header,w
output a string repeatedly until killed,yes,yes
Print all files that exceed 1000 blocks and were modified at least a month ago,find arg -size +Size -mtime +Timespan,find ls
"translate characters use the complement of set1 delete characters in set1, do replace each sequence of a first truncate set1 to length",tr -c -s -t --delete,tr
"Dump ""filename"" as 2 byte wide hexadecimal and printable characters",od -x -c arg,od
catenate files suppress repeated empty output lines,cat --squeeze-blank,cat
"authentication key generation, management and conversion specifies the filename of the option and print an openssh provides the (old) passphrase. krl rather than a new",ssh-keygen -P arg -i -u arg,ssh-keygen
